campaign_id,name,start_date,end_date,duration_days,total_budget
1,Campaign_1_Launch,2025-05-25,2025-07-23,59,24021.32
2,Campaign_2_Launch,2025-04-16,2025-07-07,82,79342.41
3,Campaign_3_Winter,2025-05-04,2025-06-29,56,14343.25
4,Campaign_4_Summer,2025-06-04,2025-08-08,65,45326.6
5,Campaign_5_Launch,2025-07-11,2025-08-28,48,68376.69
6,Campaign_6_Winter,2025-06-21,2025-09-13,84,78607.49
7,Campaign_7_Winter,2025-05-25,2025-08-05,72,43744.59
8,Campaign_8_Q3,2025-02-25,2025-04-07,41,39953.19
9,Campaign_9_Launch,2025-05-25,2025-07-13,49,40094.07
10,Campaign_10_Winter,2025-05-17,2025-07-21,65,19669.27
11,Campaign_11_Q3,2025-04-24,2025-07-02,69,79067.91
12,Campaign_12_Q3,2025-03-08,2025-06-01,85,30525.65
13,Campaign_13_Winter,2025-04-19,2025-07-01,73,21855.42
14,Campaign_14_Summer,2025-04-15,2025-06-04,50,39849.94
15,Campaign_15_Launch,2025-03-21,2025-06-11,82,85407.23
16,Campaign_16_Winter,2025-03-07,2025-06-04,89,71521.88
17,Campaign_17_Launch,2025-04-22,2025-07-18,87,86675.92
18,Campaign_18_Q3,2025-04-19,2025-06-15,57,48832.61
19,Campaign_19_Winter,2025-03-06,2025-05-15,70,33182.45
20,Campaign_20_Winter,2025-02-17,2025-05-18,90,98904.66
21,Campaign_21_Winter,2025-04-19,2025-06-22,64,37290.81
22,Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4
23,Campaign_23_Winter,2025-07-10,2025-10-02,84,26001.67
24,Campaign_24_Summer,2025-03-30,2025-05-23,54,56692.87
25,Campaign_25_Winter,2025-06-07,2025-09-04,89,52725.49
26,Campaign_26_Winter,2025-04-01,2025-06-17,77,44538.87
27,Campaign_27_Q3,2025-02-13,2025-04-02,48,12986.3
28,Campaign_28_Winter,2025-05-09,2025-06-30,52,32844.79
29,Campaign_29_Winter,2025-07-16,2025-10-06,82,19773.66
30,Campaign_30_Winter,2025-02-25,2025-05-10,74,73911.29
31,Campaign_31_Summer,2025-05-27,2025-07-22,56,72208.34
32,Campaign_32_Summer,2025-05-02,2025-06-14,43,81744.53
33,Campaign_33_Summer,2025-04-08,2025-07-04,87,59264.68
34,Campaign_34_Winter,2025-07-10,2025-09-08,60,26104.3
35,Campaign_35_Launch,2025-07-23,2025-10-12,81,71626.83
36,Campaign_36_Q3,2025-03-07,2025-05-13,67,58801.99
37,Campaign_37_Launch,2025-05-18,2025-08-01,75,46445.2
38,Campaign_38_Q3,2025-04-21,2025-05-27,36,71038.28
39,Campaign_39_Q3,2025-05-18,2025-07-27,70,55638.18
40,Campaign_40_Summer,2025-03-04,2025-04-20,47,53936.41
41,Campaign_41_Winter,2025-04-02,2025-06-12,71,85220.35
42,Campaign_42_Summer,2025-06-08,2025-07-25,47,7918.04
43,Campaign_43_Winter,2025-04-23,2025-06-12,50,81350.3
44,Campaign_44_Q3,2025-07-14,2025-09-22,70,15914.87
45,Campaign_45_Summer,2025-05-26,2025-08-05,71,53303.55
46,Campaign_46_Winter,2025-05-10,2025-08-07,89,94023.76
47,Campaign_47_Launch,2025-06-17,2025-09-03,78,69493.36
48,Campaign_48_Winter,2025-04-08,2025-06-01,54,13842.07
49,Campaign_49_Winter,2025-02-21,2025-05-17,85,28962.34
50,Campaign_50_Summer,2025-07-02,2025-08-03,32,47274.7
