user_id,user_gender,user_age,age_group,country,location,interests
a2474,Female,24,18-24,United Kingdom,New Mariomouth,"fitness, health"
141e5,Male,21,18-24,Germany,Danielsfort,"food, fitness, lifestyle"
34db0,Male,27,25-34,Australia,Vincentchester,"fashion, news"
20d08,Female,28,25-34,India,Lisaport,"health, news, finance"
9e830,Male,28,25-34,United States,Brownmouth,"health, photography, lifestyle"
cea78,Male,33,25-34,Australia,North Chad,fitness
8416b,Male,22,18-24,Mexico,Gallagherbury,"health, technology, news"
53afb,Male,31,25-34,India,Chambersport,travel
e3f22,Male,25,25-34,Canada,West Phillip,fashion
01820,Female,32,25-34,Canada,West Carla,"gaming, lifestyle"
73f8a,Male,19,18-24,United Kingdom,Justinview,"news, health"
a4089,Male,35,35-44,Japan,Wardmouth,food
b759f,Male,35,35-44,Canada,Edwardsmouth,fashion
b11c1,Female,27,25-34,United States,New Steven,health
90619,Female,24,18-24,Japan,Lake Courtneyfort,finance
7332b,Female,20,18-24,France,East Sierrafort,"news, lifestyle, travel"
72304,Other,21,18-24,India,South Ryanmouth,"photography, sports"
7dfcf,Male,24,18-24,United States,North Cindy,"news, travel"
44b7d,Male,23,18-24,United States,Knightton,finance
e37ba,Other,23,18-24,United Kingdom,East Adam,"lifestyle, news, art"
027c7,Female,34,25-34,Canada,Lake Cheryl,"photography, lifestyle"
d2628,Other,33,25-34,Japan,Port Elizabeth,"travel, gaming"
73e4a,Male,30,25-34,United States,Peterchester,"gaming, health, photography"
b3c74,Female,31,25-34,Germany,Port Kristina,"lifestyle, art"
56b94,Male,25,25-34,Canada,East Austin,"fitness, photography"
f032e,Male,35,35-44,United States,Port Christine,"sports, finance"
2ac33,Female,29,25-34,Brazil,South Carlaborough,fitness
4ff04,Male,20,18-24,India,Brandiland,fitness
418c3,Female,38,35-44,United States,East William,"food, fitness"
fb5e6,Male,20,18-24,United States,West Brandonshire,"travel, technology"
f3538,Female,31,25-34,Canada,Leeside,"photography, travel, art"
79803,Male,37,35-44,Canada,East Karen,travel
62728,Male,25,25-34,United States,South Michaelbury,art
882de,Male,23,18-24,Canada,Lake Monica,food
7204f,Male,25,25-34,Germany,Garciatown,finance
287ba,Male,18,18-24,Japan,Webbmouth,art
0e025,Female,45,45-54,Canada,Shawnhaven,"fashion, health, news"
6a960,Female,23,18-24,United States,East Wanda,"fashion, gaming"
d915e,Female,23,18-24,Canada,Port Nancy,technology
d8071,Male,16,16-17,Japan,Danielview,"lifestyle, health, finance"
1a4dd,Male,34,25-34,United States,Kingside,"art, news"
f6fe8,Male,16,16-17,India,Collierfurt,"fashion, sports, fitness"
357ea,Male,31,25-34,Brazil,Weaverfurt,"travel, technology, news"
0ff2f,Female,28,25-34,United States,Walterberg,photography
816a3,Male,18,18-24,Canada,South Lynn,"sports, technology"
d209e,Male,20,18-24,Canada,East Brett,"health, sports"
b708c,Male,41,35-44,Japan,West Jasonmouth,"photography, sports"
57796,Male,22,18-24,Canada,Hodgesstad,"art, sports, food"
64a7b,Male,38,35-44,Germany,Port Wandaville,"travel, technology"
16e2b,Male,28,25-34,United States,Port Rhonda,"health, finance, travel"
5e657,Male,35,35-44,United Kingdom,North Denise,"health, fitness, fashion"
31a47,Male,23,18-24,United States,Port Derek,"food, finance, fashion"
81518,Female,20,18-24,Germany,Stacymouth,fitness
d684a,Male,28,25-34,United States,New Deborah,health
1592c,Male,18,18-24,United Kingdom,West Carrie,"finance, travel"
ffa49,Female,31,25-34,United Kingdom,West Keith,"fitness, art"
d5179,Female,25,25-34,United States,New Leemouth,fitness
3aadb,Male,45,45-54,India,Matthewborough,"finance, news, sports"
9e8a6,Male,16,16-17,Germany,Port Kristin,news
569f4,Female,32,25-34,Australia,Frostton,gaming
193ff,Other,18,18-24,Australia,Port Ryan,"fashion, finance"
f7ed0,Male,34,25-34,Germany,North Henry,"lifestyle, fitness"
10624,Female,16,16-17,France,Gregport,"travel, gaming"
6dbad,Female,26,25-34,India,Davischester,"fitness, travel, gaming"
db310,Male,65,55-65,France,Lake Joseph,fitness
